Sıra,Model Name,H,Wtwo,Pone,Ptwo,P,Dxdxg1,W,L,Lone,htwo,Wone,Hone,Mxg2,Mone,T,None,Ntwo,Ntheree,E,Sone,Stwo,Stheree,Sfour,C,Czero,Mrzero,Mpzero,Myzero,Block(g),Rail(g/m),Category
11,HRC 30 ML,45.0,16.0,60.0,40.0,80.0,14x9x12,60.0,118.0,94.0,38.4,28.0,27.0,M8x12,0,12.0,"M6x8,5",M6x5,P5,12.0,10.5,15.0,21.7,21.8,39.6,70.2,1105.0,950.0,950.0,1150.0,4380.0,
12,HRC 35 ML,55.0,18.0,72.0,50.0,80.0,14x9x12,70.0,136.6,111.6,47.4,34.0,32.0,M8x13,0,14.0,M6x10,M6x7,P5,12.0,15.0,22.0,25.1,25.8,54.7,106.5,2185.0,1755.0,1755.0,1953.0,6790.0,
13,HRC 45 ML,70.0,20.5,80.0,60.0,105.0,20x14x17,86.0,171.5,138.5,60.7,45.0,39.0,M10x20,0,14.0,"PT1/8x12,5","M6x10,5",P5,14.0,21.1,28.1,35.0,35.0,89.5,169.1,4430.0,3460.0,3460.0,4060.0,10530.0,
14,HRC 55 ML,80.0,23.5,95.0,75.0,120.0,24x16x18,100.0,202.5,165.5,68.0,53.0,46.0,M12x24,0,16.0,"PT1/8x14,5","M6x12,5",P5,14.0,22.0,29.5,42.0,43.0,129.9,239.7,6965.0,5855.0,5855.0,6060.0,14060.0,
15,ERC 25 MS,36.0,12.5,0.0,35.0,60.0,11x7x9,48.0,57.4,38.4,30,23.0,23.1,M6x9,0,8.0,"M6x7,5","M3x6,5",P4,12,8.1,12.3,22.2,23.2,18.2,27.3,350,160,160.1,315,3020.0,
16,ERC 25 MN,36.0,12.5,35.0,35.0,60.0,11x7x9,48.0,81.2,62.2,30.0,23.0,23.0,M6x9,0,8.0,"M6x7,5","M3x6,5",P4,12.0,8.0,12.3,16.6,17.6,24.8,42.5,540.0,385.0,385.0,470.0,3020.0,
17,ERC 25 ML,36.0,12.5,50.0,35.0,60.0,11x7x9,48.0,105.0,86.0,30.0,23.0,23.0,M6x9,0,8.0,"M6x7,5","M3x6,5",P4,12.0,8.0,12.3,21.0,22.0,30.7,57.7,735.0,710.0,710.0,610.0,3020.0,
18,ARC 20 MN,28.0,11.0,32.0,32.0,60.0,"9,5x6x8,5",42.0,69.0,52.0,23.0,20.0,20.0,M5x7,0,8.0,"M3x7,5","M3x5,5",P4,4.0,7.4,13.0,13.7,17.1,30.0,325.0,230.0,230.0,266.0,2280.0,3020.0,
20,ARC 25 MN,33.0,12.5,35.0,35.0,60.0,11x7x9,48.0,81.2,62.2,27.0,23.0,23.0,M6x9,0,8.0,"M6x7,5","M3x6,5",P4,5.0,9.3,16.6,17.6,24.8,42.5,540.0,385.0,385.0,420.0,3020.0,3020.0,
21,ARC 30 MN,42.0,16.0,40.0,40.0,80.0,14x9x12,60.0,95.5,71.5,35.2,28.0,27.0,M8x10,0,12.0,"M6x8,5",M6x5,P5,7.5,12.0,20.8,20.5,32.8,53.7,845.0,565.0,565.0,800.0,4380.0,3020.0,
